"TASK_NAME1","TASK_NAME2","SCEN_TASK_NO","SOURCE","TASK_STATUS","SOURCE_1","TARGET","EXEC_SQL_ON_SOURCE","EXEC_SQL_ON_TARGET","NUMBER_OF_INSERT","NUMBER_OF_UPDATE","NUMBER_OF_DELETE","NB_ERR"
WHEN LKP_HIER_CONFIG.SEG5_DEP = 'SEGMENT25' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT25
WHEN LKP_HIER_CONFIG.SEG5_DEP = 'SEGMENT26' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT26
WHEN LKP_HIER_CONFIG.SEG5_DEP = 'SEGMENT27' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT27
WHEN LKP_HIER_CONFIG.SEG5_DEP = 'SEGMENT28' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT28
WHEN LKP_HIER_CONFIG.SEG5_DEP = 'SEGMENT29' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT29
WHEN LKP_HIER_CONFIG.SEG5_DEP = 'SEGMENT30' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT30
ELSE NULL
END)
)
END ACCOUNT_SEG5_INTEGRATION_ID,
	CASE WHEN LKP_HIER_CONFIG.SEG6 IS NULL THEN NULL
WHEN LKP_HIER_CONFIG.SEG6_DEP IS NULL THEN
(CASE 
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT1' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT1
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT2' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT2
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT3' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT3
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT4' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT4
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT5' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT5
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT6' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT6
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT7' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT7
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT8' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT8
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT9' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT9
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT10' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT10
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT11' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT11
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT12' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT12
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT13' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT13
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT14' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT14
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT15' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT15
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT16' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT16
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT17' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT17
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT18' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT18
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT19' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT19
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT20' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT20
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT21' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT21
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT22' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT22
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT23' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT23
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT24' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT24
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT25' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT25
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT26' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT26
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT27' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT27
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT28' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT28
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT29' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT29
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT30' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT30
ELSE NULL
END)
ELSE
(
(CASE 
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT1' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT1
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT2' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT2
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT3' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT3
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT4' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT4
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT5' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT5
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT6' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT6
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT7' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT7
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT8' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT8
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT9' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT9
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT10' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT10
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT11' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT11
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT12' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT12
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT13' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT13
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT14' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT14
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT15' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT15
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT16' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT16
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT17' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT17
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT18' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT18
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT19' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT19
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT20' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT20
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT21' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT21
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT22' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT22
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT23' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT23
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT24' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT24
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT25' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT25
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT26' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT26
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT27' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT27
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT28' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT28
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT29' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT29
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT30' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT30
ELSE NULL
END)
||'~'||
(CASE 
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT1' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT1
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT2' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT2
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT3' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT3
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT4' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT4
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT5' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT5
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT6' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT6
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT7' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT7
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT8' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT8
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT9' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT9
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT10' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT10
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT11' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT11
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT12' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT12
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT13' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT13
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT14' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT14
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT15' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT15
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT16' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT16
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT17' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT17
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT18' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT18
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT19' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT19
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT20' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT20
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT21' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT21
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT22' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT22
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT23' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT23
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT24' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT24
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT25' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT25
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT26' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT26
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT27' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT27
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT28' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT28
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT29' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT29
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT30' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT30
ELSE NULL
END)
)
END ACCOUNT_SEG6_CODE,
	LKP_HIER_CONFIG.SEG6_ATTRIB ACCOUNT_SEG6_ATTRIB,
	LKP_HIER_CONFIG.SEG6_ATTRIB
||'~'||
CASE WHEN LKP_HIER_CONFIG.SEG6 IS NULL THEN NULL
WHEN LKP_HIER_CONFIG.SEG6_DEP IS NULL THEN
(CASE 
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT1' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT1
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT2' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT2
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT3' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT3
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT4' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT4
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT5' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT5
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT6' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT6
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT7' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT7
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT8' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT8
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT9' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT9
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT10' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT10
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT11' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT11
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT12' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT12
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT13' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT13
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT14' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT14
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT15' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT15
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT16' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT16
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT17' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT17
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT18' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT18
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT19' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT19
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT20' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT20
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT21' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT21
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT22' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT22
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT23' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT23
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT24' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT24
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT25' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT25
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT26' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT26
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT27' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT27
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT28' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT28
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT29' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT29
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT30' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT30
ELSE NULL
END)
ELSE
(
(CASE 
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT1' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT1
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT2' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT2
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT3' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT3
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT4' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT4
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT5' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT5
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT6' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT6
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT7' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT7
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT8' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT8
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT9' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT9
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT10' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT10
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT11' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT11
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT12' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT12
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT13' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT13
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT14' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT14
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT15' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT15
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT16' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT16
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT17' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT17
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT18' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT18
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT19' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT19
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT20' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT20
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT21' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT21
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT22' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT22
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT23' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT23
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT24' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT24
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT25' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT25
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT26' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT26
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT27' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT27
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT28' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT28
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT29' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT29
WHEN LKP_HIER_CONFIG.SEG6 = 'SEGMENT30' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT30
ELSE NULL
END)
||'~'||
(CASE 
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT1' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT1
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT2' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT2
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT3' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT3
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT4' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT4
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT5' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT5
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT6' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT6
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT7' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT7
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT8' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT8
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT9' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT9
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT10' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT10
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT11' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT11
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT12' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT12
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT13' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT13
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT14' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT14
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT15' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT15
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT16' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT16
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT17' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT17
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT18' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT18
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT19' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT19
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT20' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT20
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT21' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT21
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT22' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT22
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT23' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT23
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT24' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT24
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT25' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT25
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT26' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT26
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT27' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT27
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT28' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT28
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT29' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT29
WHEN LKP_HIER_CONFIG.SEG6_DEP = 'SEGMENT30' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT30
ELSE NULL
END)
)
END ACCOUNT_SEG6_INTEGRATION_ID,
	CASE WHEN LKP_HIER_CONFIG.SEG7 IS NULL THEN NULL
WHEN LKP_HIER_CONFIG.SEG7_DEP IS NULL THEN
(CASE 
WHEN LKP_HIER_CONFIG.SEG7 = 'SEGMENT1' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT1
WHEN LKP_HIER_CONFIG.SEG7 = 'SEGMENT2' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT2
WHEN LKP_HIER_CONFIG.SEG7 = 'SEGMENT3' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT3
WHEN LKP_HIER_CONFIG.SEG7 = 'SEGMENT4' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT4
WHEN LKP_HIER_CONFIG.SEG7 = 'SEGMENT5' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT5
WHEN LKP_HIER_CONFIG.SEG7 = 'SEGMENT6' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT6
WHEN LKP_HIER_CONFIG.SEG7 = 'SEGMENT7' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT7
WHEN LKP_HIER_CONFIG.SEG7 = 'SEGMENT8' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT8
WHEN LKP_HIER_CONFIG.SEG7 = 'SEGMENT9' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT9
WHEN LKP_HIER_CONFIG.SEG7 = 'SEGMENT10' THEN SQ_BCI_GL_ACCOUNTS_A.SEGMENT10
